id,overall,commits_before_mt1,commits_between_mt1_mt2,commits_after_mt2,commits_before_mt2,commits_all
1,99.0183,119,174,68,293,361
2,98.9217,46,112,39,158,197
3,97.11,50,86,25,136,161
4,97.05,95,104,24,199,223
5,96.864,74,118,55,192,247
6,96.7758,50,87,31,137,168
7,96.3408,43,65,31,108,139
8,95.5933,53,129,27,182,209
9,95.57,57,83,35,140,175
10,95.3975,42,97,32,139,171
11,95.2344,37,101,72,138,210
12,95.2258,49,77,41,126,167
13,94.9542,65,95,33,160,193
14,94.7208,55,87,23,142,165
15,94.5171,59,106,23,165,188
16,94.5004,60,80,30,140,170
17,93.9854,35,41,24,76,100
18,93.4317,36,72,10,108,118
19,93.0848,96,134,57,230,287
20,92.4648,40,104,35,144,179
21,92.27,64,76,41,140,181
22,92.2633,33,77,39,110,149
23,92.2552,52,81,29,133,162
24,92.1396,41,94,36,135,171
25,91.4258,49,107,34,156,190
26,91.2567,24,119,36,143,179
27,91.005,33,158,30,191,221
28,90.6592,34,61,30,95,125
29,90.6194,46,70,24,116,140
30,90.3858,56,93,24,149,173
31,90.36,31,39,17,70,87
32,90.0044,34,99,35,133,168
33,89.7569,43,78,34,121,155
34,89.5854,64,136,60,200,260
35,89.365,60,120,51,180,231
36,89.3617,52,90,35,142,177
37,89.2367,37,65,36,102,138
38,89.2167,73,116,44,189,233
39,89.1183,40,128,43,168,211
40,88.9558,35,84,51,119,170
41,88.9483,47,120,28,167,195
42,88.9383,50,81,34,131,165
43,88.3667,30,58,18,88,106
44,88.2033,53,59,46,112,158
45,87.836,44,75,39,119,158
46,87.3758,40,65,26,105,131
47,87.0369,32,65,49,97,146
48,86.9544,46,97,55,143,198
49,86.9473,22,86,37,108,145
50,86.7708,17,23,17,40,57
51,86.2633,46,111,51,157,208
52,85.9629,42,52,22,94,116
53,85.7617,39,72,41,111,152
54,85.5483,35,66,28,101,129
55,85.47,54,94,19,148,167
56,85.4533,60,118,66,178,244
57,85.1154,40,58,30,98,128
58,84.6223,39,74,32,113,145
59,84.1927,25,51,32,76,108
60,83.9071,32,37,25,69,94
61,83.3608,15,56,34,71,105
62,83.2663,48,145,51,193,244
63,82.5367,48,74,32,122,154
64,82.2546,40,56,18,96,114
65,81.9108,29,47,27,76,103
66,81.5185,32,67,26,99,125
67,81.3983,42,83,31,125,156
68,80.026,29,113,38,142,180
69,78.5783,57,40,39,97,136
70,78.3513,21,47,27,68,95
71,77.8183,16,70,30,86,116
72,76.5017,30,32,21,62,83
73,75.4783,24,38,7,62,69
74,69.3323,28,35,22,63,85
75,67.0304,11,22,9,33,42
76,66.8892,28,69,28,97,125
77,65.6008,32,45,25,77,102
78,57.355,9,61,19,70,89
